source_position,local_index,transaction_num,predicted_value,actual_value,rank,feature,feature_value,shap_value,abs_shap_value,running_value_before,running_value_after
468,468,7e387bffafed1850ff69344026690642f90400f281e80a99ba4007666d92b0a7,3661413.62074601,3533770.0,20,nearest_mall,18514.27134372089,5495.268192147229,5495.268192147229,3657566.7343590804,3663062.002551228
468,468,7e387bffafed1850ff69344026690642f90400f281e80a99ba4007666d92b0a7,3661413.62074601,3533770.0,21,nearest_metro,18498.113392581035,-1306.1552323379906,1306.1552323379906,3663062.002551228,3661755.84731889
468,468,7e387bffafed1850ff69344026690642f90400f281e80a99ba4007666d92b0a7,3661413.62074601,3533770.0,22,usage_Commercial,0.0,-555.0207018422982,555.0207018422982,3661755.84731889,3661200.8266170477
468,468,7e387bffafed1850ff69344026690642f90400f281e80a99ba4007666d92b0a7,3661413.62074601,3533770.0,23,usage_Other,0.0,-465.520699649127,465.520699649127,3661200.8266170477,3660735.3059173985
468,468,7e387bffafed1850ff69344026690642f90400f281e80a99ba4007666d92b0a7,3661413.62074601,3533770.0,24,has_parking,0.0,404.41920797487774,404.41920797487774,3660735.3059173985,3661139.7251253733
468,468,7e387bffafed1850ff69344026690642f90400f281e80a99ba4007666d92b0a7,3661413.62074601,3533770.0,25,procedure_Other,0.0,350.50581593771045,350.50581593771045,3661139.7251253733,3661490.230941311
468,468,7e387bffafed1850ff69344026690642f90400f281e80a99ba4007666d92b0a7,3661413.62074601,3533770.0,26,usage_Hospitality_,0.0,-76.99752938180389,76.99752938180389,3661490.230941311,3661413.233411929
468,468,7e387bffafed1850ff69344026690642f90400f281e80a99ba4007666d92b0a7,3661413.62074601,3533770.0,27,usage_Multi_Use,0.0,0.0,0.0,3661413.233411929,3661413.233411929
468,468,7e387bffafed1850ff69344026690642f90400f281e80a99ba4007666d92b0a7,3661413.62074601,3533770.0,28,usage_Industrial,0.0,0.0,0.0,3661413.233411929,3661413.233411929
468,468,7e387bffafed1850ff69344026690642f90400f281e80a99ba4007666d92b0a7,3661413.62074601,3533770.0,29,usage_Storage,0.0,0.0,0.0,3661413.233411929,3661413.233411929
468,468,7e387bffafed1850ff69344026690642f90400f281e80a99ba4007666d92b0a7,3661413.62074601,3533770.0,30,procedure_Sell_Development,0.0,0.0,0.0,3661413.233411929,3661413.233411929
469,469,780792ef4481fd4f6b9b071fead11c9a683f47a3d6638120facabc55b27e208d,1210374.8926316302,1141000.0,1,procedure_area,74.08,-622541.1179109218,622541.1179109218,1984339.7348785633,1361798.6169676415
469,469,780792ef4481fd4f6b9b071fead11c9a683f47a3d6638120facabc55b27e208d,1210374.8926316302,1141000.0,2,project,15620.543805881136,-175040.41678786033,175040.41678786033,1361798.6169676415,1186758.2001797813
469,469,780792ef4481fd4f6b9b071fead11c9a683f47a3d6638120facabc55b27e208d,1210374.8926316302,1141000.0,3,rooms,1.0,-84967.83156305988,84967.83156305988,1186758.2001797813,1101790.3686167214
469,469,780792ef4481fd4f6b9b071fead11c9a683f47a3d6638120facabc55b27e208d,1210374.8926316302,1141000.0,4,master_project,20498.247888605263,64560.10997083994,64560.10997083994,1101790.3686167214,1166350.4785875613
469,469,780792ef4481fd4f6b9b071fead11c9a683f47a3d6638120facabc55b27e208d,1210374.8926316302,1141000.0,5,off_plan_vol_ratio,0.8705035971223022,-22723.77508164576,22723.77508164576,1166350.4785875613,1143626.7035059156
469,469,780792ef4481fd4f6b9b071fead11c9a683f47a3d6638120facabc55b27e208d,1210374.8926316302,1141000.0,6,prop_type_Unit,1.0,-19146.6704794184,19146.6704794184,1143626.7035059156,1124480.033026497
469,469,780792ef4481fd4f6b9b071fead11c9a683f47a3d6638120facabc55b27e208d,1210374.8926316302,1141000.0,7,procedure_Sell,0.0,18633.25800836699,18633.25800836699,1124480.033026497,1143113.291034864
469,469,780792ef4481fd4f6b9b071fead11c9a683f47a3d6638120facabc55b27e208d,1210374.8926316302,1141000.0,8,area,16275.175384508077,15502.833439545102,15502.833439545102,1143113.291034864,1158616.124474409
469,469,780792ef4481fd4f6b9b071fead11c9a683f47a3d6638120facabc55b27e208d,1210374.8926316302,1141000.0,9,nearest_landmark,20146.25007233051,14931.74528175179,14931.74528175179,1158616.124474409,1173547.8697561608
469,469,780792ef4481fd4f6b9b071fead11c9a683f47a3d6638120facabc55b27e208d,1210374.8926316302,1141000.0,10,prop_sb_type,19668.34633540245,-12241.113128327552,12241.113128327552,1173547.8697561608,1161306.7566278332
469,469,780792ef4481fd4f6b9b071fead11c9a683f47a3d6638120facabc55b27e208d,1210374.8926316302,1141000.0,11,community_30d_avg_price,18000.481151079137,10802.750159317957,10802.750159317957,1161306.7566278332,1172109.506787151
469,469,780792ef4481fd4f6b9b071fead11c9a683f47a3d6638120facabc55b27e208d,1210374.8926316302,1141000.0,12,nearest_metro,18498.113392581035,9861.63401015526,9861.63401015526,1172109.506787151,1181971.1407973063
469,469,780792ef4481fd4f6b9b071fead11c9a683f47a3d6638120facabc55b27e208d,1210374.8926316302,1141000.0,13,date_year,2025.0,9447.92294415005,9447.92294415005,1181971.1407973063,1191419.0637414563
469,469,780792ef4481fd4f6b9b071fead11c9a683f47a3d6638120facabc55b27e208d,1210374.8926316302,1141000.0,14,procedure_Sell___Pre_registration,1.0,8832.790723252725,8832.790723252725,1191419.0637414563,1200251.854464709
469,469,780792ef4481fd4f6b9b071fead11c9a683f47a3d6638120facabc55b27e208d,1210374.8926316302,1141000.0,15,prop_type_Land,0.0,8403.267594951581,8403.267594951581,1200251.854464709,1208655.1220596607
469,469,780792ef4481fd4f6b9b071fead11c9a683f47a3d6638120facabc55b27e208d,1210374.8926316302,1141000.0,16,nearest_mall,18514.27134372089,-5748.027070078322,5748.027070078322,1208655.1220596607,1202907.0949895824
469,469,780792ef4481fd4f6b9b071fead11c9a683f47a3d6638120facabc55b27e208d,1210374.8926316302,1141000.0,17,is_offplan,1.0,5395.125699328098,5395.125699328098,1202907.0949895824,1208302.2206889105
469,469,780792ef4481fd4f6b9b071fead11c9a683f47a3d6638120facabc55b27e208d,1210374.8926316302,1141000.0,18,usage_Commercial,0.0,-4835.618011591845,4835.618011591845,1208302.2206889105,1203466.6026773185
469,469,780792ef4481fd4f6b9b071fead11c9a683f47a3d6638120facabc55b27e208d,1210374.8926316302,1141000.0,19,has_parking,1.0,4001.0666042576763,4001.0666042576763,1203466.6026773185,1207467.669281576
469,469,780792ef4481fd4f6b9b071fead11c9a683f47a3d6638120facabc55b27e208d,1210374.8926316302,1141000.0,20,usage_Residential,1.0,-3221.546045812657,3221.546045812657,1207467.669281576,1204246.1232357635
469,469,780792ef4481fd4f6b9b071fead11c9a683f47a3d6638120facabc55b27e208d,1210374.8926316302,1141000.0,21,month_sin,-2.4492935982947064e-16,2804.423882468608,2804.423882468608,1204246.1232357635,1207050.5471182321
469,469,780792ef4481fd4f6b9b071fead11c9a683f47a3d6638120facabc55b27e208d,1210374.8926316302,1141000.0,22,usage_Other,0.0,2286.162167662645,2286.162167662645,1207050.5471182321,1209336.7092858949
469,469,780792ef4481fd4f6b9b071fead11c9a683f47a3d6638120facabc55b27e208d,1210374.8926316302,1141000.0,23,month_cos,1.0,1609.1144509667558,1609.1144509667558,1209336.7092858949,1210945.8237368616
469,469,780792ef4481fd4f6b9b071fead11c9a683f47a3d6638120facabc55b27e208d,1210374.8926316302,1141000.0,24,prop_type_Villa,0.0,-386.1741304442296,386.1741304442296,1210945.8237368616,1210559.6496064174
469,469,780792ef4481fd4f6b9b071fead11c9a683f47a3d6638120facabc55b27e208d,1210374.8926316302,1141000.0,25,usage_Hospitality_,0.0,-152.20339917784685,152.20339917784685,1210559.6496064174,1210407.4462072395
469,469,780792ef4481fd4f6b9b071fead11c9a683f47a3d6638120facabc55b27e208d,1210374.8926316302,1141000.0,26,procedure_Other,0.0,-32.46474843432656,32.46474843432656,1210407.4462072395,1210374.9814588053
469,469,780792ef4481fd4f6b9b071fead11c9a683f47a3d6638120facabc55b27e208d,1210374.8926316302,1141000.0,27,usage_Multi_Use,0.0,0.0,0.0,1210374.9814588053,1210374.9814588053
469,469,780792ef4481fd4f6b9b071fead11c9a683f47a3d6638120facabc55b27e208d,1210374.8926316302,1141000.0,28,usage_Industrial,0.0,0.0,0.0,1210374.9814588053,1210374.9814588053
469,469,780792ef4481fd4f6b9b071fead11c9a683f47a3d6638120facabc55b27e208d,1210374.8926316302,1141000.0,29,usage_Storage,0.0,0.0,0.0,1210374.9814588053,1210374.9814588053
469,469,780792ef4481fd4f6b9b071fead11c9a683f47a3d6638120facabc55b27e208d,1210374.8926316302,1141000.0,30,procedure_Sell_Development,0.0,0.0,0.0,1210374.9814588053,1210374.9814588053
470,470,237be78a39d0f02c3ac749952f5cfd8c3b7268dffbee82500006fba45517066c,1410887.3379159947,1387000.0,1,procedure_area,89.69,-457510.86797938694,457510.86797938694,1984339.7348785633,1526828.8668991765
470,470,237be78a39d0f02c3ac749952f5cfd8c3b7268dffbee82500006fba45517066c,1410887.3379159947,1387000.0,2,project,16362.60321404906,-149779.01839447464,149779.01839447464,1526828.8668991765,1377049.8485047019
470,470,237be78a39d0f02c3ac749952f5cfd8c3b7268dffbee82500006fba45517066c,1410887.3379159947,1387000.0,3,rooms,1.0,-96636.03717957539,96636.03717957539,1377049.8485047019,1280413.8113251266
470,470,237be78a39d0f02c3ac749952f5cfd8c3b7268dffbee82500006fba45517066c,1410887.3379159947,1387000.0,4,master_project,20498.247888605263,74113.08716068696,74113.08716068696,1280413.8113251266,1354526.8984858135
470,470,237be78a39d0f02c3ac749952f5cfd8c3b7268dffbee82500006fba45517066c,1410887.3379159947,1387000.0,5,off_plan_vol_ratio,0.8703481392557023,-24523.498115864895,24523.498115864895,1354526.8984858135,1330003.4003699487
470,470,237be78a39d0f02c3ac749952f5cfd8c3b7268dffbee82500006fba45517066c,1410887.3379159947,1387000.0,6,procedure_Sell,0.0,22712.99664328899,22712.99664328899,1330003.4003699487,1352716.3970132377
470,470,237be78a39d0f02c3ac749952f5cfd8c3b7268dffbee82500006fba45517066c,1410887.3379159947,1387000.0,7,area,16275.175384508077,21653.810319454988,21653.810319454988,1352716.3970132377,1374370.2073326926
470,470,237be78a39d0f02c3ac749952f5cfd8c3b7268dffbee82500006fba45517066c,1410887.3379159947,1387000.0,8,prop_type_Unit,1.0,-20412.441702202872,20412.441702202872,1374370.2073326926,1353957.7656304897
470,470,237be78a39d0f02c3ac749952f5cfd8c3b7268dffbee82500006fba45517066c,1410887.3379159947,1387000.0,9,nearest_landmark,20146.25007233051,17475.053125130366,17475.053125130366,1353957.7656304897,1371432.8187556202
470,470,237be78a39d0f02c3ac749952f5cfd8c3b7268dffbee82500006fba45517066c,1410887.3379159947,1387000.0,10,prop_sb_type,19668.34633540245,-13776.491898848104,13776.491898848104,1371432.8187556202,1357656.326856772
470,470,237be78a39d0f02c3ac749952f5cfd8c3b7268dffbee82500006fba45517066c,1410887.3379159947,1387000.0,11,procedure_Sell___Pre_registration,1.0,12672.113668871294,12672.113668871294,1357656.326856772,1370328.4405256433
470,470,237be78a39d0f02c3ac749952f5cfd8c3b7268dffbee82500006fba45517066c,1410887.3379159947,1387000.0,12,date_year,2025.0,9135.771787376652,9135.771787376652,1370328.4405256433,1379464.21231302
470,470,237be78a39d0f02c3ac749952f5cfd8c3b7268dffbee82500006fba45517066c,1410887.3379159947,1387000.0,13,community_30d_avg_price,18003.52569027611,9051.186088477443,9051.186088477443,1379464.21231302,1388515.3984014974
470,470,237be78a39d0f02c3ac749952f5cfd8c3b7268dffbee82500006fba45517066c,1410887.3379159947,1387000.0,14,prop_type_Land,0.0,8404.499445088783,8404.499445088783,1388515.3984014974,1396919.897846586
470,470,237be78a39d0f02c3ac749952f5cfd8c3b7268dffbee82500006fba45517066c,1410887.3379159947,1387000.0,15,nearest_metro,18498.113392581035,7981.785766567043,7981.785766567043,1396919.897846586,1404901.6836131532
470,470,237be78a39d0f02c3ac749952f5cfd8c3b7268dffbee82500006fba45517066c,1410887.3379159947,1387000.0,16,usage_Commercial,0.0,-6796.6508312994465,6796.6508312994465,1404901.6836131532,1398105.0327818538
470,470,237be78a39d0f02c3ac749952f5cfd8c3b7268dffbee82500006fba45517066c,1410887.3379159947,1387000.0,17,is_offplan,1.0,5588.1061815785715,5588.1061815785715,1398105.0327818538,1403693.1389634323
